股票代码,股票名称,所属行业,得分,5日均成交量,成交量
002909,集泰股份,化学制品,85.446,47629.2,28315.0
002910,庄园牧场,食品饮料,75.031,57904.6,32081.0
002911,佛燃能源,燃气,68.393,34658.6,31776.0
002912,中新赛克,互联网服务,18.227,67915.0,142530.0
002913,奥士康,电子元件,80.054,54794.8,40169.0
002915,中欣氟材,化学制品,96.891,25579.4,37708.0
002916,深南电路,电子元件,90.066,83069.8,48356.0
002917,金奥博,化学制品,58.01,113621.6,79374.0
002918,蒙娜丽莎,装修建材,70.42,70225.8,31970.0
002919,名臣健康,美容护理,43.109,112517.2,123094.0
002920,德赛西威,汽车零部件,93.913,55508.2,21311.0
002921,联诚精密,汽车零部件,88.187,17405.4,9032.0
002922,伊戈尔,电子元件,80.494,82209.4,41410.0
002923,润都股份,化学制药,85.077,32156.6,18964.0
002925,盈趣科技,消费电子,98.696,63884.4,50601.0
002926,华西证券,证券,39.266,560224.8,544154.0
002927,泰永长征,电网设备,63.235,31348.2,24414.0
002928,华夏航空,航空机场,81.132,62902.0,52123.0
002929,润建股份,通信服务,49.125,59686.6,36452.0
002930,宏川智慧,物流行业,46.475,20427.8,11396.0
002931,锋龙股份,通用设备,73.272,19597.4,14496.0
002932,明德生物,医疗器械,99.658,56534.8,34839.0
002933,新兴装备,航天航空,50.949,29259.6,19013.0
002935,天奥电子,通信设备,81.847,46755.4,22679.0
002936,郑州银行,银行,85.95,505123.4,737181.0
002937,兴瑞科技,消费电子,47.089,90596.8,58975.0
002938,鹏鼎控股,电子元件,99.721,492471.8,214545.0
002939,长城证券,证券,82.2,563699.0,539754.0
002940,昂利康,化学制药,85.486,21747.4,17638.0
002941,新疆交建,工程建设,8.811,372791.2,482188.0
002942,新农股份,农药兽药,67.518,6265.8,5330.0
002943,宇晶股份,通用设备,80.751,33105.4,26310.0
002945,华林证券,证券,63.333,115559.4,123028.0
002946,新乳业,食品饮料,9.577,136348.4,77017.0
