s0274,000736,中交地产,房地产开发,14.01,4.7,31.75,34.4177449,0.8216937
s0275,000737,北方铜业,有色金属,5.23,2.33,11.66,31.0825295,1.0362771
s0276,000738,航发控制,航天航空,23.65,6.91,45.15,43.7761506,1.0312655
s0277,000739,普洛药业,化学制药,17.65,4.86,41.87,34.5582275,1.2487982
s0278,000748,长城信息,,0.0,None,None,None,None
s0279,000750,国海证券,证券,3.33,2.75,31.62,2.0090059,1.1039484
s0280,000751,锌业股份,有色金属,3.22,2.18,13.1,9.5238095,0.8363958
s0281,000753,漳州发展,汽车服务,5.11,2.33,13.0,26.054358,0.7595325
s0282,000755,山西路桥,铁路公路,4.73,2.87,16.32,13.8289963,0.8069198
s0283,000756,新华制药,化学制药,21.71,3.65,48.85,39.9557522,1.0679523
s0284,000757,浩物股份,汽车服务,4.0,3.4,19.03,3.8387716,0.7842864
s0285,000758,中色股份,有色金属,4.6,3.3,43.85,3.2059186,1.1207273
s0286,000759,中百集团,商业百货,4.46,4.27,15.55,1.6843972,0.9532644
s0287,000761,本钢板材,钢铁行业,3.95,2.45,9.38,21.6450216,1.1238988
s0288,000762,西藏矿业,能源金属,29.71,29.68,52.5,0.1314636,0.876757
s0289,000763,锦州石化,,0.0,None,None,None,None
s0290,000766,通化金马,化学制药,4.66,2.78,24.99,8.4646556,0.750201
s0291,000767,晋控电力,电力行业,3.06,3.01,4.44,3.4965035,1.0366254
s0292,000768,中航西飞,航天航空,23.86,6.7,48.5,41.0526316,0.8828019
s0293,000776,广发证券,证券,14.71,9.5,63.15,9.7110904,1.0826417
s0294,000777,中核科技,通用设备,12.97,9.4,13.44,88.3663366,0.9347628
s0295,000778,新兴铸管,钢铁行业,4.03,3.62,4.82,34.1666667,0.8309399
s0296,000779,甘咨询,工程咨询服务,10.86,5.86,31.9,19.2012289,0.8146117
s0297,000782,美达股份,化纤行业,5.11,2.74,29.99,8.6972477,0.6857456
s0298,000783,长江证券,证券,5.85,4.04,22.45,9.8316133,0.9248594
s0299,000785,居然之家,商业百货,3.73,3.45,23.5,1.3965087,1.0215552
s0300,000786,北新建材,装修建材,23.97,7.9,57.0,32.7291242,0.820186
s0301,000788,北大医药,化学制药,6.71,4.56,23.2,11.5343348,0.9032827
s0302,000789,万年青,水泥建材,7.62,5.69,20.94,12.6557377,1.0045092
s0303,000790,华神科技,中药,5.61,3.82,27.51,7.5559308,0.7171032
s0304,000791,甘肃能源,电力行业,5.15,2.88,23.62,10.9450338,1.374705
s0305,000792,盐湖股份,化肥行业,18.88,5.42,78.05,18.5322869,1.1393255
s0306,000793,华闻集团,文化传媒,2.17,1.85,11.7,3.248731,1.2111076
s0307,000795,英洛华,小金属,6.54,3.19,26.38,14.4458818,1.6613625
s0308,000797,中国武夷,房地产开发,2.97,2.34,47.08,1.4081359,0.8166825
s0309,000798,中水渔业,农牧饲渔,10.48,4.45,25.0,29.3430657,0.9195236
s0310,000799,酒鬼酒,酿酒行业,93.83,9.71,276.89,31.4843925,0.6844475
s0311,000800,一汽解放,汽车整车,8.3,5.06,30.5,12.7358491,0.9023017
s0312,000801,四川九洲,家电行业,7.21,3.77,43.02,8.7643312,1.1281379
s0313,000802,北京文化,文化传媒,8.11,3.65,9.9,71.36,0.8999794
s0314,000803,山高环能,综合行业,10.22,5.25,47.99,11.6284511,0.9700698
s0315,000807,云铝股份,有色金属,12.68,3.52,23.58,45.663011,0.8403051
s0316,000809,铁岭新城,房地产开发,3.96,3.8,4.35,29.0909091,0.6378873
s0317,000810,创维数字,家电行业,19.08,5.19,40.0,39.9023269,0.8684964
s0318,000811,冰轮环境,通用设备,14.82,4.26,27.8,44.8598131,1.0170959
s0319,000812,陕西金叶,包装材料,5.12,2.6,21.9,13.0569948,0.9726865
s0320,000813,德展健康,化学制药,2.92,2.78,18.21,0.9073234,1.1129944
s0321,000815,美利云,造纸印刷,13.2,3.8,46.03,22.2590575,1.1923816
s0322,000816,智慧农业,通用设备,3.09,1.17,17.2,11.9775421,1.033775
s0323,000817,辽河油田,,0.0,None,None,None,None
s0324,000818,航锦科技,化学原料,33.3,26.36,43.5,40.4900817,0.8349103
s0325,000819,岳阳兴长,石油行业,18.35,5.53,66.95,20.8726799,0.9297183
s0326,000820,神雾节能,环保行业,3.48,0.82,44.98,6.0235507,0.9134516
s0327,000821,京山轻机,专用设备,19.09,4.99,27.3,63.2003586,1.3769432
s0328,000822,山东海化,化学原料,6.6,6.52,8.95,3.2921811,0.9611242
s0329,000823,超声电子,电子元件,9.45,5.56,20.21,26.552901,0.8292496
s0330,000825,太钢不锈,钢铁行业,3.89,3.89,4.89,0.0,1.0692999
s0331,000826,启迪环境,环保行业,2.73,2.73,38.4,0.0,1.2541941
s0332,000828,东莞控股,铁路公路,9.04,8.89,10.6,8.7719298,1.0076756
s0333,000829,天音控股,贸易行业,9.39,3.22,27.85,25.0507511,1.1875995
s0334,000830,鲁西化工,化学原料,10.32,5.65,25.81,23.1646825,0.9349615
s0335,000831,中国稀土,小金属,29.61,3.98,59.8,45.9154425,1.0983728
s0336,000833,粤桂股份,综合行业,6.58,6.28,7.89,18.6335404,0.7674083
s0337,000836,富通信息,通信设备,3.03,2.1,29.99,3.3345285,1.1133942
s0338,000837,秦川机床,通用设备,15.1,3.31,23.85,57.4001947,1.5998764
s0339,000838,财信发展,房地产开发,3.58,2.3,69.88,1.8940515,0.8742798
